content,publish_time,like_num,forward_num,comment_num
:我作为一个战斗多年的人，和我的父母爆发过数不清的冲突的人。我并不建议，大家和我一样和父母打直球，因为特别痛苦也特别声嘶力竭也特别累和绝望。而且付出回报比约等于忽略不计。太划不来了。和我有同样痛苦的人自然知道我在说什么，和他们说话像一拳打在棉花上，甚至会变成家庭里的疯子，我妈经常会笑着说：你就为这点事声嘶力竭？我还以为多大点事呢。这种emotion abuse更加剧我的精神状态。我现在觉得没啥好斗的，趁早离开，趁早经济独立，如果能骗点钱就骗，如果认清压根无法从她们手里拿到钱还不如早点死了心，减少内耗，想着如何在社会面搞钱。在他们眼里，你永远无法拥有平等的身份，这种战役是非常的羞辱。而且我尝试过多种沟通方式，哭诉、怒吼、写信、下跪求饶等等，你能想到的每一种方法都用了，但是对方是在另外一个世界的人，和你是完全相反的价值观，这样的沟通就像你在机场等待坐轮渡，永远永远都不可能去往你想去的地方。在心理上，我建议趁早切断。在经济上：能演戏骗钱就骗，骗不到立马去大城市血拼一条路。普通人规划来规划去，就这些路，没有更好的路。,2023-04-27 15:45,298,32,16
:为什么说觉得自己很差劲这个观念很差劲呢，因为人对自我的看法会影响到你的方方面面，你会交什么样的朋友，做什么工作，开什么车，住什么地方。因为你会一直评估自己配不配的上。一旦觉得自己配不上，你就会一直往下找获得安全感。这对你接下来的人生，可以说是，毫无帮助。这就是为什么要摒弃这个观念。,2023-01-16 17:02,119,31,6
:这图好窒息啊，和这样的人天天呆在一起真的太恐怖了。明明女主也是当事人之一，但是她的感受不重要，重要的是她男朋友觉得必须保护她，保护惹更大的话题度。我真的巨讨厌这种话术。很多男的喜欢说，你骂我可以，你骂我父母就不行。其实和说，你骂我可以，你骂我女朋友不行，共享的是一套逻辑。这套逻辑的背后，缺乏了自爱，为什么允许别人践踏自己，却不能践踏除自己以外的人，拜托，大哥，你连自己都守护不了，连自己不被冒犯的边界都不愿意守护，你现在谈你有保护别人的能力？我是不信的，一个人保护不了自己，势必保护不了她人。因为这个能力有就是，没有就是没有。如果有，既保护得了自己，也能护得了爱的人周全。往往就是护不了自己，所以哪怕别人不需要你去保护，你也要强行弱化别人的主体性，说我必须保护你。好吓人。,2023-02-24 19:54,337,31,10
:你做事如果滴水不漏，我由衷佩服你，你处理事情圆滑体面，我也由衷佩服你，但是我肯定会远离你。因为我很害怕。说不上来，就是害怕。我在原单位的老总就是这样的人，在体制内混得风生水起，她非常情商高，说话让别人舒服得很。但是我特别怕她。我觉得我和这类人有次元壁。我纵观我的朋友，都是鼠鼠，都发疯，都有病，都有点不正常，哪怕可以伪装做个大人上班，下班以后必精神崩溃的那种。我特别庆幸我来了美国，因为我感觉所有人都好疯，我看不到几个正常人，美国人别看平时正常，私底下开party，一个比一个疯。,2023-06-12 18:18,328,30,14
笑死了，这两天睡前让老公一条条念出来我们刚认识时候的聊天记录，念完他在床上尖叫打滚，说脚趾头已经扣出别墅了，哈哈哈哈哈。  [组图共4张] 原图,2023-02-10 18:57,399,30,38
无论我做什么样的个体选择，例如结婚出国等等。我都始终保持自己的原则，就三点。第一，永远不背叛自己过去作为小孩的身份。第二，永远不背叛自己作为女性的身份。第三，诚实面对自己的所有感受。  ,2023-02-18 14:11,112,29,0
我个人的经验哈，一个人的主页没有各种转发求助或者社会不公，就不值得我喜欢。也不是对别人的道德绑架，我只是觉得不爱参与公共议题的人，不太适合我的交友光谱。因为看到不公，选择无视，最简单的零成本转发都没有。我总觉得，我无法信任你，所以我就无法坦诚地把自己交给你，那我们也不会是朋友。  ,2023-06-12 18:12,241,29,19
:我好像对学历挺无所谓的，可能我也不是什么卷王，也不是那种尖子生。有一种光脚的不怕穿鞋的即视感。我是真的对高考没兴趣，我当时16岁的时候，对活着都没兴趣。整个9年义务教育，我都在吊儿郎当，不过成绩一直挺好的，但是高中我又谈恋爱，上网吧，上课睡觉，成绩就只能是中等。我也没有觉得高考成绩可以代表我，代表我的人生。所以我也一直安慰高考前的弟弟：一场考试定义不了你的人生，更定义不了你是什么人。我也不是有底气地去自毁，而是我心智未成熟，我又叛逆，我就是想气死我妈，让她在家属院，同事里抬不起头，她有个成绩不好的女儿。我那么爱她，又那么恨她。我想成功地报复一次她，那我自己的高考作为筹码。坦诚来说，我一直知道自己很聪明，因为我一直觉得很多东西很简单，再加上所有的老师在骂我的时候都会强调一句：不要以为你聪明，你就可以这么骄傲，这么吊儿郎当。外界虽然一直打压我，但是它们又愿意承认，我是个头脑非常聪明的小孩子。爸爸虽然一直打我，他觉得我调皮，他每次都会叹息我在浪费自己的天分，他看到我这种不当回事的态度就更加火大，所以我基本上每天都在挨打。家属院的人都知道我，2天一小打，三天一大打。爸爸说，你要是个庸才，脑子不好用，我也不会逼你。毕竟打不出一个天才来。你明明很机灵，为什么不认真，发挥在正道。除了外界在告诉我，我自己内心也清楚得要死。作为一个在县城里长大的小孩，我本能就有巨大的探索欲，所以我疯狂地阅读，为了疯狂地去了解世界，除这里以外的世界，反思这里所有的不正常。每天在家里吃饭的时候，我都在批判，口若悬河，我爸问我从哪里看的，我说观察环境和通过书籍对比外面就知道了。我一直觉得自己很不一样。这种自信是我自己给的。但是我又因为爱妈妈，有了软肋，我一方面很痛苦，一方面又讨好她，成为那个不是自己，但她想要的女儿模样。我是彻底不爱她以后，才又恢复到小时候的心境。所以高考我不觉得自己考输了别人，因为我就没有想要加入过，我也没有努力过，这甚至都不是我想要的生活和未来。所以这个东西也没有成为我的心魔，虽然妈妈哭得很伤心，妈妈确实不愿意在同事面前讨论我的本科学校。妈妈一直抬不起头，直到我选拔考试考上了工作，妈妈又觉得扬眉吐气，和每个人说：你看！我告诉过你们，她就是高考不想努力才那样，这次她愿意态度端正，你看千军万马，1000比1的岗位她还不是考上了？妈妈和每个亲戚都说，和每个同事都说，甚至跑去和我的高中班主任发短信，说xxx被Xx单位录取了，竞争非常激烈，但她脱颖而出！我班主任没有回她。我问妈妈，你为什么要告诉他，他都是个过去式了。妈妈说，他在你高三的时候说，你这辈子都没有出息，最怕有点聪明又糟蹋天分的人，这种人永世没出息。她说，我当时听了泪如雨下，还送了他一条中华，他就这么和我说话，我快气死了！这下我终于扬眉吐气，想告诉他，你这个老东西，压根看不准人，我女儿你就看走眼了，当年被他吓死了，乌云笼罩一样。我其实听了挺高兴，原来她也会护犊子啊。我以为这辈子都不会有了。后面很多人都会问我的学历，我就说，专科。成人本科。三本。内心就在想，吓死你！我认识我老公的时候，从最开始到婚后很长一段时间，他都不知道我的学历，因为他没有过问过，我也没有提过，因为我已经毕业快10年了，谁会聊这个啊。作为一个工作将近5年的人，还愿意讨论高考和本科，多少有点，我是真的觉得的。后面第一次办签证，他拿我的资料去复印才知道我的学校。我问他，你不好奇吗？你不和其他人一样想知道我的本科和高考分数吗？他说，我看到的是你的人，你的思想，和你的交谈感受。和这些东西有什么关系？你也从来不问我的学历，不过我写在简介里，你也早就知道了。我就觉得，嗯，确实是一路人，我们有自己的筛选标准，而不是社会给我们制定的筛选标准。,2023-02-20 13:02,304,27,15
:我永远不会因为我的性欲羞耻，同样，我也永远不会因为我的爱欲羞耻。我不会因为害怕孤单而羞耻，我不会因为渴望拥抱而羞耻，我不会因为渴望亲吻而羞耻，我不会因为渴望物欲而羞耻，我不会因为探索亲密关系而羞耻，我不会因为探索失败而羞耻，我唯一的羞耻就是对自己不诚实，对自己的需求不诚实，对自己的渴望不诚实，对自己的求生欲不诚实。我会勇敢地探索我人生的各个阶段带来的体验，永远不会耻化我自己，也不接受任何人来耻化我。,2023-01-03 10:15,126,26,2
回头看很多事情，我发现唯一的幸事就是自我意识和女性意识开弓没有回头箭，每一天都比前一天更强烈，力量越强。也承认，在这些意识没有特别强悍之前，所有的爱恋都是自导自演的幻觉。我从未爱过任何人，而任何人也从未爱过我。都是残次品，纯靠我丰富的想象力。  ,2023-06-07 13:24,148,25,4
